agent_id,agent_name,date,calls_handled,avg_call_duration_min,avg_acw_time_min,avg_hold_time_min,transfers,pto_balance_hours,pto_used_this_month,avg_sentiment_score,frustration_keywords_count,avg_pitch_variance,stress_score
AGENT_001,Emma Chen,2025-03-01,43,10.53,2.67,2.61,0,76.1,1.7,-0.02,2,49.1,0.49
AGENT_001,Emma Chen,2025-03-02,41,8.38,3.44,2.62,3,73.1,4.6,0.14,3,53.9,0.48
AGENT_001,Emma Chen,2025-03-03,41,9.69,4.22,2.75,1,72.2,8.2,0.55,1,54.3,0.41
AGENT_001,Emma Chen,2025-03-04,44,8.04,1.74,2.27,2,78.1,10.1,-0.61,4,18.9,0.61
AGENT_001,Emma Chen,2025-03-05,42,10.86,5.42,2.93,0,82.6,3.6,-0.51,1,10.8,0.65
AGENT_001,Emma Chen,2025-03-06,44,7.8,5.45,4.76,3,80.8,11.0,0.09,1,74.1,0.56
AGENT_001,Emma Chen,2025-03-07,48,10.37,1.35,3.76,0,83.8,11.7,0.31,1,63.4,0.39
AGENT_001,Emma Chen,2025-03-08,40,7.73,4.8,2.63,6,66.2,8.3,0.25,3,19.3,0.46
AGENT_001,Emma Chen,2025-03-09,45,9.32,1.57,4.14,2,66.0,2.6,0.49,1,39.8,0.34
AGENT_001,Emma Chen,2025-03-10,45,8.58,6.2,0.83,1,68.7,6.4,0.83,1,41.2,0.49
AGENT_001,Emma Chen,2025-03-11,38,8.21,0.32,4.7,2,71.8,3.0,0.53,2,70.1,0.3
AGENT_001,Emma Chen,2025-03-12,40,9.3,4.34,2.44,5,79.7,6.4,0.84,1,-3.5,0.36
AGENT_001,Emma Chen,2025-03-13,33,8.09,4.23,4.9,2,72.1,9.8,-0.0,4,54.5,0.51
AGENT_001,Emma Chen,2025-03-14,46,9.62,3.06,2.4,2,74.5,6.2,0.32,3,68.2,0.46
AGENT_001,Emma Chen,2025-03-15,37,8.26,4.53,3.37,3,72.8,10.6,-0.06,8,23.8,0.58
AGENT_001,Emma Chen,2025-03-16,29,10.29,2.53,1.16,0,61.6,11.9,-0.32,3,44.4,0.49
AGENT_001,Emma Chen,2025-03-17,44,12.56,1.86,3.88,3,67.7,5.8,0.1,4,66.8,0.48
AGENT_001,Emma Chen,2025-03-18,57,8.85,4.48,3.09,3,63.6,9.0,0.11,3,53.5,0.61
AGENT_001,Emma Chen,2025-03-19,35,8.17,4.28,0.18,0,52.6,10.1,0.37,2,18.0,0.37
